title,price,location,bedrooms,bathrooms,surface_total,surface_useful,url,description
Departamento En Venta De 2 Dorm. En Suite Vitacura,13900.0,"Paul Claudel/Vitacura, Parque Bicentenario, Vitacura",2.0,3.0,,189.0,https://portalinmobiliario.com/MLC-1679209659-departamento-en-venta-de-2-dorm-en-suite-vitacura-_JM#polycard_client=search-nordic&search_layout=grid&position=8&type=item&tracking_id=049b7d07-4140-499c-b68b-c331186b590c,
Duplex Espectacular Terraza,15185.0,"MAR JONICO / VITACURA, Estadio Croata, Vitacura",4.0,4.0,,160.0,https://portalinmobiliario.com/MLC-1593123253-duplex-espectacular-terraza-_JM#polycard_client=search-nordic&search_layout=grid&position=9&type=item&tracking_id=049b7d07-4140-499c-b68b-c331186b590c,
Duplex 2d+2b A Pasos Alto Las Condes,8500.0,"Vitacura, 1 - 300, Villa El Dorado, Vitacura",2.0,2.0,,82.0,https://portalinmobiliario.com/MLC-3014538746-duplex-2d2b-a-pasos-alto-las-condes-_JM#polycard_client=search-nordic&search_layout=grid&position=10&type=item&tracking_id=049b7d07-4140-499c-b68b-c331186b590c,
Departamento En Venta De 4 Dorm. En Vitacura,24000.0,"Luis Carrera, Borde Río - Casa Piedra, Vitacura",4.0,4.0,,321.0,https://portalinmobiliario.com/MLC-3108205488-departamento-en-venta-de-4-dorm-en-vitacura-_JM#polycard_client=search-nordic&search_layout=grid&position=11&type=item&tracking_id=049b7d07-4140-499c-b68b-c331186b590c,
Departamento En Venta De 4 Dorm. En Vitacura,15850.0,"Las Hualtatas, Pío XI, Vitacura",4.0,4.0,,255.0,https://portalinmobiliario.com/MLC-1590847137-departamento-en-venta-de-4-dorm-en-vitacura-_JM#polycard_client=search-nordic&search_layout=grid&position=12&type=item&tracking_id=049b7d07-4140-499c-b68b-c331186b590c,
Departamento En Venta De 4 Dorm. En Vitacura,16400.0,"Club De Golf, Parque Bicentenario, Vitacura",4.0,3.0,,305.0,https://portalinmobiliario.com/MLC-3103179560-departamento-en-venta-de-4-dorm-en-vitacura-_JM#polycard_client=search-nordic&search_layout=grid&position=13&type=item&tracking_id=049b7d07-4140-499c-b68b-c331186b590c,
Departamento En Venta De 4 Dorm. En Vitacura,21500.0,"Americo Vespucio, Parque Bicentenario, Vitacura",4.0,4.0,,213.0,https://portalinmobiliario.com/MLC-3040258424-departamento-en-venta-de-4-dorm-en-vitacura-_JM#polycard_client=search-nordic&search_layout=grid&position=14&type=item&tracking_id=049b7d07-4140-499c-b68b-c331186b590c,
Departamento En Venta De 3 Dorm. En Vitacura,18500.0,"Alonso De Cordova, Parque Bicentenario, Vitacura",3.0,4.0,,233.0,https://portalinmobiliario.com/MLC-1582620893-departamento-en-venta-de-3-dorm-en-vitacura-_JM#polycard_client=search-nordic&search_layout=grid&position=15&type=item&tracking_id=049b7d07-4140-499c-b68b-c331186b590c,
Departamento En Venta De 3 Dorm. En Vitacura,17500.0,"Club De Golf, Parque Bicentenario, Vitacura",3.0,4.0,,250.0,https://portalinmobiliario.com/MLC-1595607281-departamento-en-venta-de-3-dorm-en-vitacura-_JM#polycard_client=search-nordic&search_layout=grid&position=16&type=item&tracking_id=049b7d07-4140-499c-b68b-c331186b590c,
Departamento En Venta De 3 Dorm. En Vitacura,19000.0,"Alonso De Córdova, Parque Bicentenario, Vitacura",3.0,3.0,,241.0,https://portalinmobiliario.com/MLC-2983287300-departamento-en-venta-de-3-dorm-en-vitacura-_JM#polycard_client=search-nordic&search_layout=grid&position=17&type=item&tracking_id=049b7d07-4140-499c-b68b-c331186b590c,
Departamento En Venta De 3 Dorm. En Vitacura,16000.0,"Parque Arauco, Parque Bicentenario, Vitacura",3.0,4.0,,167.0,https://portalinmobiliario.com/MLC-3117934028-departamento-en-venta-de-3-dorm-en-vitacura-_JM#polycard_client=search-nordic&search_layout=grid&position=18&type=item&tracking_id=049b7d07-4140-499c-b68b-c331186b590c,
Santa Teresita,22800.0,"SANTA TERESITA, Lo Curro, Vitacura",3.0,4.0,,245.0,https://portalinmobiliario.com/MLC-1675128709-santa-teresita-_JM#polycard_client=search-nordic&search_layout=grid&position=19&type=item&tracking_id=049b7d07-4140-499c-b68b-c331186b590c,
Exquisito Cocina Remodelada Integrada Terraza Luz Parques,9900.0,"Alejandro Serani Nte. 9300 - 9600, La Llavería, Vitacura",3.0,2.0,,114.0,https://portalinmobiliario.com/MLC-3185066650-exquisito-cocina-remodelada-integrada-terraza-luz-parques-_JM#polycard_client=search-nordic&search_layout=grid&position=20&type=item&tracking_id=049b7d07-4140-499c-b68b-c331186b590c,
Departamento Con Jardín En Ubicación Privilegiada,51500.0,"Parque Bicentenario, Vitacura",4.0,4.0,,381.0,https://portalinmobiliario.com/MLC-1692826045-departamento-con-jardin-en-ubicacion-privilegiada-_JM#polycard_client=search-nordic&search_layout=grid&position=21&type=item&tracking_id=049b7d07-4140-499c-b68b-c331186b590c,
